movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Hope Springs,100.0,"Comedy,Drama,Romance",6.3,38667,30000000,63536011,133085295,103085295,3.4361765
Amour,127.0,"Drama,Romance",7.9,84960,9700000,6738954,36787044,27087044,2.792478762886598
Wuthering Heights,129.0,"Drama,Romance",6.1,8549,8000000,100915,2721534,-5278466,-0.65980825
Passengers,116.0,"Drama,Romance,Sci-Fi",7.0,311083,110000000,100014699,302239672,192239672,1.7476333818181817
Charlie St. Cloud,99.0,"Drama,Fantasy,Romance",6.5,55016,44000000,31206263,48478084,4478084,0.10177463636363636
We Are Your Friends,96.0,"Drama,Music,Romance",6.2,32327,2000000,3591417,10153415,8153415,4.0767075
The Meddler,103.0,"Comedy,Drama,Romance",6.3,10629,3200000,4267219,5526942,2326942,0.727169375
The Switch,101.0,"Comedy,Drama,Romance",6.1,90661,19000000,27758465,49858465,30858465,1.6241297368421053
Dear John,108.0,"Drama,Romance,War",6.3,128657,25000000,80014842,142033509,117033509,4.68134036
Sex Tape,94.0,"Comedy,Romance",5.1,100520,40000000,38543473,126069509,86069509,2.151737725
Life as We Know It,114.0,"Comedy,Drama,Romance",6.6,113077,38000000,53374681,105887837,67887837,1.7865220263157895
The Art of Getting By,83.0,"Drama,Romance",6.6,53682,4000000,1430241,1989035,-2010965,-0.50274125
Bachelorette,87.0,"Comedy,Romance",5.3,43131,3000000,446770,12577401,9577401,3.192467
A Hologram for the King,98.0,"Comedy,Drama,Romance",6.1,36062,35000000,4212494,11846010,-23153990,-0.6615425714285714
Beyond the Lights,116.0,"Drama,Music,Romance",6.9,14122,7000000,14618727,14618727,7618727,1.0883895714285714
