movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,200000000,159555901,652220086,452220086,2.26110043
Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338,215000000,652270625,1648854864,1433854864,6.669092390697674
John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,275000000,73058679,282778100,7778100,0.028284
The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,125000000,113203870,280355920,155355920,1.24284736
Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396,135000000,64006466,157956466,22956466,0.1700478962962963
Ender's Game,114.0,"Action,Adventure,Fantasy",6.6,211722,110000000,61737191,127983283,17983283,0.16348439090909092
Jurassic World: Fallen Kingdom,128.0,"Action,Adventure,Sci-Fi",6.2,219125,170000000,417719760,1305772799,1135772799,6.681016464705882
A Bad Moms Christmas,104.0,"Adventure,Comedy",5.5,33056,28000000,72110659,127710550,99710550,3.5610910714285713
Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527,150000000,412563408,821133378,671133378,4.47422252
Season of the Witch,95.0,"Action,Adventure,Fantasy",5.4,85777,40000000,24827228,91126600,51126600,1.278165
127 Hours,94.0,"Adventure,Biography,Drama",7.6,323949,18000000,18335230,60217171,42217171,2.345398388888889
Mortal Engines,128.0,"Action,Adventure,Fantasy",6.1,70193,100000000,15951040,85287417,-14712583,-0.14712583
Black Panther,134.0,"Action,Adventure,Sci-Fi",7.3,516148,200000000,700059566,1348258224,1148258224,5.74129112
The Boss Baby,97.0,"Adventure,Animation,Comedy",6.3,93730,125000000,175003033,510878762,385878762,3.087030096
Kingsman: The Golden Circle,141.0,"Action,Adventure,Comedy",6.8,230797,104000000,100234838,408803696,304803696,2.930804769230769
Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,260000000,200821936,586477240,326477240,1.2556816923076923
Alita: Battle Angel,122.0,"Action,Adventure,Sci-Fi",7.5,88207,170000000,85710210,402976036,232976036,1.3704472705882353
The Smurfs,103.0,"Adventure,Animation,Comedy",5.5,77577,110000000,142614158,563749323,453749323,4.124993845454545
Captain Marvel,123.0,"Action,Adventure,Sci-Fi",7.0,296225,175000000,426525952,1123061550,948061550,5.417494571428572
Conan the Barbarian,113.0,"Action,Adventure,Fantasy",5.2,90834,90000000,21295021,63356133,-26643867,-0.2960429666666667
The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,143862,160000000,63150991,217986320,57986320,0.3624145
