movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Alvin and the Chipmunks: The Road Chip,92.0,"Adventure,Animation,Comedy",5.1,14507,90000000,85886987,249517956,159517956,1.7724217333333334
Moana,107.0,"Adventure,Animation,Comedy",7.6,224253,150000000,248757044,637517365,487517365,3.2501157666666667
The Smurfs 2,105.0,"Adventure,Animation,Comedy",5.4,34229,110000000,71017784,348547523,238547523,2.1686138454545456
Minions,91.0,"Adventure,Animation,Comedy",6.4,193917,74000000,336045770,1160336173,1086336173,14.680218554054054
A Monster Calls,108.0,"Animation,Drama,Fantasy",7.5,70416,43000000,3740823,46414530,3414530,0.07940767441860465
The Lego Ninjago Movie,101.0,"Action,Adventure,Animation",6.0,18926,70000000,59281555,122737201,52737201,0.7533885857142857
Dragon Ball Super: Broly,100.0,"Action,Adventure,Animation",8.0,16465,8500000,30376755,122747755,114247755,13.440912352941176
Home,94.0,"Adventure,Animation,Comedy",6.6,85831,130000000,177397510,385997896,255997896,1.9692145846153846
Sing,108.0,"Animation,Comedy,Family",7.1,115951,75000000,270329045,634454789,559454789,7.459397186666667
The Boxtrolls,96.0,"Adventure,Animation,Comedy",6.8,50763,60000000,50837305,111946251,51946251,0.86577085
Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277,145000000,111506430,269806430,124806430,0.860734
Rango,107.0,"Adventure,Animation,Comedy",7.2,215761,135000000,123477607,245724600,110724600,0.8201822222222223
The Little Prince,108.0,"Adventure,Animation,Drama",7.7,50015,77500000,1311213,102028919,24528919,0.3165021806451613
Incredibles 2,118.0,"Action,Adventure,Animation",7.7,203510,200000000,608581744,1242520711,1042520711,5.212603555
Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,200000000,415004880,1068879522,868879522,4.34439761
The Secret Life of Pets,87.0,"Adventure,Animation,Comedy",6.5,161997,75000000,368384330,886750534,811750534,10.823340453333333
Rio,96.0,"Adventure,Animation,Comedy",6.9,191621,90000000,143619809,487519809,397519809,4.416886766666667
Turbo,96.0,"Adventure,Animation,Comedy",6.4,74639,135000000,83028130,286896578,151896578,1.125159837037037
Smurfs: The Lost Village,90.0,"Adventure,Animation,Comedy",6.0,15612,60000000,45020282,197578586,137578586,2.292976433333333
Hotel Transylvania 2,89.0,"Animation,Comedy,Family",6.7,92905,80000000,169700110,469500298,389500298,4.868753725
ParaNorman,92.0,"Adventure,Animation,Comedy",7.0,87250,60000000,56003051,108119662,48119662,0.8019943666666667
How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,278205,145000000,177002924,614586270,469586270,3.238526
