movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Valerian and the City of a Thousand Planets,137.0,"Action,Adventure,Fantasy",6.5,139792,180000000,40479370,215098356,35098356,0.19499086666666668
Birth of the Dragon,95.0,"Action,Biography,Drama",5.4,6090,31000000,6901965,7220490,-23779510,-0.7670809677419355
Dark Phoenix,113.0,"Action,Adventure,Sci-Fi",6.0,24451,350000000,42762350,149762350,-200237650,-0.5721075714285714
Jonah Hex,81.0,"Action,Drama,Fantasy",4.7,51860,47000000,10547117,11022696,-35977304,-0.7654745531914894
MacGruber,90.0,"Action,Comedy,Romance",5.5,39782,10000000,8525600,8629895,-1370105,-0.1370105
Kick-Ass 2,103.0,"Action,Comedy,Crime",6.6,238832,28000000,28795985,63129909,35129909,1.2546396071428572
Pacific Rim,131.0,"Action,Adventure,Sci-Fi",6.9,443667,190000000,101802906,411002906,221002906,1.1631731894736843
X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,200000000,233921534,747862775,547862775,2.739313875
Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338,215000000,652270625,1648854864,1433854864,6.669092390697674
John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,275000000,73058679,282778100,7778100,0.028284
The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,125000000,113203870,280355920,155355920,1.24284736
Bullet to the Head,92.0,"Action,Crime,Thriller",5.7,44816,55000000,9489829,22597969,-32402031,-0.5891278363636364
Dredd,95.0,"Action,Crime,Sci-Fi",7.1,234616,45000000,13414714,41467606,-3532394,-0.07849764444444444
Unknown,113.0,"Action,Mystery,Thriller",6.9,235167,40000000,63686397,136123083,96123083,2.403077075
Baywatch,116.0,"Action,Comedy,Crime",5.6,137528,60000000,58060186,175863783,115863783,1.93106305
Ender's Game,114.0,"Action,Adventure,Fantasy",6.6,211722,110000000,61737191,127983283,17983283,0.16348439090909092
Deepwater Horizon,107.0,"Action,Drama,History",7.1,133303,156000000,61433527,122603824,-33396176,-0.2140780512820513
The Purge: Election Year,108.0,"Action,Horror,Sci-Fi",6.0,80254,10000000,79042440,118514727,108514727,10.8514727
Jurassic World: Fallen Kingdom,128.0,"Action,Adventure,Sci-Fi",6.2,219125,170000000,417719760,1305772799,1135772799,6.681016464705882
Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527,150000000,412563408,821133378,671133378,4.47422252
Season of the Witch,95.0,"Action,Adventure,Fantasy",5.4,85777,40000000,24827228,91126600,51126600,1.278165
The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,275000000,448139099,1084439099,809439099,2.9434149054545453
Haywire,93.0,"Action,Drama,Thriller",5.8,78681,23000000,18942396,36374700,13374700,0.5815086956521739
Mortal Engines,128.0,"Action,Adventure,Fantasy",6.1,70193,100000000,15951040,85287417,-14712583,-0.14712583
The Hit List,90.0,"Action,Thriller",5.4,11081,6000000,0,0,-6000000,-1.0
Black Panther,134.0,"Action,Adventure,Sci-Fi",7.3,516148,200000000,700059566,1348258224,1148258224,5.74129112
Bajrangi Bhaijaan,163.0,"Action,Comedy,Drama",8.0,63747,13000000,8178001,121778347,108778347,8.367565153846154
Kingsman: The Golden Circle,141.0,"Action,Adventure,Comedy",6.8,230797,104000000,100234838,408803696,304803696,2.930804769230769
Alita: Battle Angel,122.0,"Action,Adventure,Sci-Fi",7.5,88207,170000000,85710210,402976036,232976036,1.3704472705882353
Tower Heist,104.0,"Action,Comedy,Crime",6.2,125102,85000000,78046570,150422946,65422946,0.7696817176470588
Unstoppable,98.0,"Action,Thriller",6.8,173019,95000000,81562942,165720921,70720921,0.7444307473684211
Legion,100.0,"Action,Fantasy,Horror",5.2,92709,26000000,40168080,67647574,41647574,1.6018297692307693
Captain Marvel,123.0,"Action,Adventure,Sci-Fi",7.0,296225,175000000,426525952,1123061550,948061550,5.417494571428572
The First Purge,98.0,"Action,Horror,Sci-Fi",5.1,41741,13000000,69488745,136617305,123617305,9.509023461538462
Conan the Barbarian,113.0,"Action,Adventure,Fantasy",5.2,90834,90000000,21295021,63356133,-26643867,-0.2960429666666667
Salt,100.0,"Action,Mystery,Thriller",6.4,277204,130000000,118311368,290650494,160650494,1.2357730307692307
The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,143862,160000000,63150991,217986320,57986320,0.3624145
San Andreas,114.0,"Action,Adventure,Drama",6.1,192750,110000000,155190832,456258539,346258539,3.1478049
