movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Lucy,89.0,"Action,Sci-Fi,Thriller",6.4,403194,40000000,126573960,457507776,417507776,10.4376944
Life,104.0,"Horror,Sci-Fi,Thriller",6.6,182840,75000000,64062587,73521587,-1478413,-0.019712173333333333
Glass,129.0,"Drama,Sci-Fi,Thriller",6.8,133793,20000000,111035005,245303505,225303505,11.26517525
Red Dawn,93.0,"Action,Sci-Fi,Thriller",5.4,69599,65000000,44806783,48164150,-16835850,-0.2590130769230769
X-Men: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930,160000000,146408305,355408305,195408305,1.22130190625
Victor Frankenstein,110.0,"Drama,Horror,Sci-Fi",6.0,47492,40000000,5775076,31124367,-8875633,-0.221890825
Captain America: The Winter Soldier,136.0,"Action,Adventure,Sci-Fi",7.8,666252,170000000,259746958,714401889,544401889,3.2023640529411765
Rampage,107.0,"Action,Adventure,Sci-Fi",6.1,115891,120000000,101028233,428056280,308056280,2.5671356666666667
Hardcore Henry,96.0,"Action,Adventure,Sci-Fi",6.7,78226,2000000,9252038,17187434,15187434,7.593717
American Ultra,96.0,"Action,Comedy,Sci-Fi",6.1,76769,28000000,14439985,30295028,2295028,0.08196528571428571
Cargo,105.0,"Drama,Horror,Sci-Fi",6.3,27339,4200000,0,313230,-3886770,-0.9254214285714286
Ravenous,104.0,"Drama,Horror,Sci-Fi",5.9,5970,12000000,2062406,2062406,-9937594,-0.8281328333333333
Evolution,81.0,"Drama,Mystery,Sci-Fi",6.0,5266,80000000,38311134,98341932,18341932,0.22927415
Hotel Artemis,94.0,"Action,Drama,Sci-Fi",6.1,30586,15000000,6708137,12758799,-2241201,-0.1494134
Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,165000000,188017894,666379375,501379375,3.038662878787879
Repo Men,111.0,"Action,Crime,Sci-Fi",6.3,96144,32000000,13942007,18195238,-13804762,-0.4313988125
Iron Man 3,130.0,"Action,Adventure,Sci-Fi",7.2,692794,200000000,408992272,1215392272,1015392272,5.07696136
Her,126.0,"Drama,Romance,Sci-Fi",8.0,467232,23000000,25568251,48163815,25163815,1.0940789130434783
Battleship,131.0,"Action,Adventure,Sci-Fi",5.8,225342,220000000,65233400,313477717,93477717,0.4248987136363636
Sound of My Voice,85.0,"Drama,Mystery,Sci-Fi",6.6,19387,135000,408015,429448,294448,2.181096296296296
The Amazing Spider-Man 2,142.0,"Action,Adventure,Sci-Fi",6.6,388363,200000000,202853933,708996336,508996336,2.54498168
The Circle,110.0,"Drama,Sci-Fi,Thriller",5.3,72536,18000000,20497844,40651864,22651864,1.2584368888888888
The Hunger Games: Mockingjay - Part 2,137.0,"Action,Adventure,Sci-Fi",6.6,252384,160000000,281723902,648986787,488986787,3.05616741875
The Lazarus Effect,83.0,"Horror,Mystery,Sci-Fi",5.2,37675,5000000,25801570,38359310,33359310,6.671862
Vice,96.0,"Action,Adventure,Sci-Fi",4.2,14436,60000000,47836282,70883171,10883171,0.18138618333333334
The Martian,144.0,"Adventure,Drama,Sci-Fi",8.0,680116,108000000,228433663,655271443,547271443,5.067328175925926
Spider-Man: Homecoming,133.0,"Action,Adventure,Sci-Fi",7.5,426302,175000000,334201140,880166350,705166350,4.029522
X-Men: Apocalypse,144.0,"Action,Adventure,Sci-Fi",7.0,356556,178000000,155442489,542537546,364537546,2.047963741573034
Prometheus,124.0,"Adventure,Mystery,Sci-Fi",7.0,538720,125000000,126477084,402448265,277448265,2.21958612
Area 51,91.0,"Horror,Sci-Fi,Thriller",4.2,11537,5000000,7556,7556,-4992444,-0.9984888
The Hunger Games: Catching Fire,146.0,"Action,Adventure,Sci-Fi",7.5,575455,130000000,424668047,864868047,734868047,5.652831130769231
Arrival,116.0,"Drama,Mystery,Sci-Fi",7.9,515483,47000000,100546139,203127894,156127894,3.321870085106383
The Predator,107.0,"Action,Adventure,Sci-Fi",5.4,94888,88000000,51024708,159487563,71487563,0.8123586704545455
Power Rangers,124.0,"Action,Adventure,Sci-Fi",6.0,92013,120000000,85364450,142531552,22531552,0.18776293333333333
Morgan,92.0,"Action,Horror,Sci-Fi",5.8,35487,8000000,3915251,7298786,-701214,-0.08765175
Project Almanac,106.0,"Drama,Mystery,Sci-Fi",6.4,71500,12000000,22348241,32909437,20909437,1.7424530833333334
Hot Tub Time Machine,101.0,"Comedy,Sci-Fi",6.4,153962,36000000,50269859,65967750,29967750,0.8324375
Star Trek Beyond,122.0,"Action,Adventure,Sci-Fi",7.1,209844,185000000,158848340,335802233,150802233,0.8151472054054054
The Signal,97.0,"Drama,Mystery,Sci-Fi",6.1,58407,4000000,600896,2665322,-1334678,-0.3336695
Oblivion,124.0,"Action,Adventure,Sci-Fi",7.0,453966,120000000,89107235,287916633,167916633,1.399305275
Transformers: Age of Extinction,165.0,"Action,Adventure,Sci-Fi",5.7,283486,210000000,245439076,1104039076,894039076,4.2573289333333335
Earth to Echo,91.0,"Adventure,Family,Sci-Fi",5.8,17627,13000000,38934842,42174545,29174545,2.2441957692307692
Bird Box,124.0,"Drama,Horror,Sci-Fi",6.6,218063,19800000,0,0,-19800000,-1.0
Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,13000000,25440971,38358392,25358392,1.9506455384615384
Banshee Chapter,87.0,"Horror,Sci-Fi,Thriller",5.5,8219,950000,0,78122,-871878,-0.9177663157894737
Source Code,93.0,"Action,Drama,Sci-Fi",7.5,452036,32000000,54712227,140428499,108428499,3.38839059375
Replicas,107.0,"Drama,Sci-Fi,Thriller",5.4,17336,4000000,0,0,-4000000,-1.0
Man of Steel,143.0,"Action,Adventure,Sci-Fi",7.1,647288,225000000,291045518,667999518,442999518,1.9688867466666666
The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,225000000,623279547,1517935897,1292935897,5.746381764444444
The Wolverine,126.0,"Action,Adventure,Sci-Fi",6.7,401286,115000000,132556852,416456852,301456852,2.6213639304347827
Enter Nowhere,90.0,"Mystery,Sci-Fi,Thriller",6.6,7298,500000,0,0,-500000,-1.0
Maze Runner: The Scorch Trials,131.0,"Action,Sci-Fi,Thriller",6.3,201143,61000000,81697192,310566162,249566162,4.09124855737705
Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,185000000,92054159,259357408,74357408,0.40193193513513514
Alien: Covenant,122.0,"Horror,Sci-Fi,Thriller",6.4,226920,97000000,74262031,238521247,141521247,1.4589819278350515
Hot Tub Time Machine 2,93.0,"Comedy,Mystery,Sci-Fi",5.1,34444,14000000,12314651,12826644,-1173356,-0.08381114285714286
The Hunger Games: Mockingjay - Part 1,123.0,"Action,Adventure,Sci-Fi",6.6,379050,125000000,337135885,766575131,641575131,5.132601048
Pacific Rim: Uprising,111.0,"Action,Adventure,Sci-Fi",5.6,89462,155000000,59874525,290930148,135930148,0.8769686967741935
Predators,107.0,"Action,Adventure,Sci-Fi",6.4,199764,40000000,52000688,127234389,87234389,2.180859725
Gravity,91.0,"Drama,Sci-Fi,Thriller",7.7,710018,110000000,274092705,693698673,583698673,5.306351572727273
Chronicle,84.0,"Drama,Sci-Fi,Thriller",7.1,229258,12000000,64575175,123681790,111681790,9.306815833333333
The Giver,97.0,"Drama,Romance,Sci-Fi",6.5,104999,25000000,45090374,66540205,41540205,1.6616082
The Adjustment Bureau,106.0,"Romance,Sci-Fi,Thriller",7.1,227616,50200000,62495645,126931325,76731325,1.5285124501992031
Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535,190000000,228778661,467381584,277381584,1.4599030736842105
Jupiter Ascending,127.0,"Action,Adventure,Sci-Fi",5.3,166327,179000000,47482519,181982519,2982519,0.016662117318435754
Independence Day: Resurgence,120.0,"Action,Adventure,Sci-Fi",5.2,155344,165000000,103144286,384169424,219169424,1.3282995393939394
Ready Player One,140.0,"Action,Adventure,Sci-Fi",7.5,301660,150000000,137690172,579290136,429290136,2.86193424
I Origins,106.0,"Drama,Romance,Sci-Fi",7.4,104718,1000000,336472,852399,-147601,-0.147601
Monsters,94.0,"Drama,Sci-Fi,Thriller",6.4,84332,500000,237301,5639730,5139730,10.27946
The Maze Runner,113.0,"Action,Mystery,Sci-Fi",6.8,387038,34000000,102427862,348319861,314319861,9.244701794117647
Rise of the Planet of the Apes,105.0,"Action,Drama,Sci-Fi",7.6,473020,93000000,176760185,470986200,377986200,4.064367741935484
Transformers: Dark of the Moon,154.0,"Action,Adventure,Sci-Fi",6.2,366409,195000000,352390543,1123790543,928790543,4.763028425641026
Under the Skin,108.0,"Drama,Horror,Sci-Fi",6.3,113196,13300000,2614251,7229933,-6070067,-0.45639601503759397
G.I. Joe: Retaliation,110.0,"Action,Adventure,Sci-Fi",5.8,165536,140000000,122523060,375740705,235740705,1.6838621785714285
Lockout,95.0,"Action,Sci-Fi,Thriller",6.1,89554,20000000,14326865,33943049,13943049,0.69715245
Captive State,109.0,"Sci-Fi,Thriller",6.9,28780,25000000,5958315,8993300,-16006700,-0.640268
Circle,87.0,"Drama,Mystery,Sci-Fi",6.0,30645,2000000,10024,10024,-1989976,-0.994988
The Meg,113.0,"Action,Horror,Sci-Fi",5.7,114042,178000000,145443742,529530715,351530715,1.9748916573033708
Riddick,119.0,"Action,Adventure,Sci-Fi",6.4,144821,38000000,42025135,94763758,56763758,1.4937831052631578
Elysium,109.0,"Action,Drama,Sci-Fi",6.6,395572,120000000,93050117,286192091,166192091,1.3849340916666666
The Purge: Anarchy,103.0,"Action,Horror,Sci-Fi",6.5,126203,9000000,71562550,111534881,102534881,11.392764555555555
Godzilla,123.0,"Action,Adventure,Sci-Fi",6.4,350687,160000000,200676069,529076069,369076069,2.30672543125
Transformers: The Last Knight,154.0,"Action,Adventure,Sci-Fi",5.2,119007,217000000,130168683,602893340,385893340,1.7783103225806451
Captain America: Civil War,147.0,"Action,Adventure,Sci-Fi",7.8,583507,250000000,408084349,1140069413,890069413,3.560277652
Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,160000000,292576195,835524642,675524642,4.2220290125
The Hunger Games,142.0,"Action,Adventure,Sci-Fi",7.2,795227,80000000,408010692,677923379,597923379,7.4740422375
Sleight,89.0,"Action,Drama,Sci-Fi",5.9,7074,250000,3930990,3934450,3684450,14.7378
Kin,102.0,"Action,Drama,Sci-Fi",5.7,9048,30000000,5718096,10096821,-19903179,-0.6634393
Logan,137.0,"Action,Drama,Sci-Fi",8.1,560270,127000000,226277068,615461394,488461394,3.846152708661417
Upgrade,100.0,"Action,Sci-Fi,Thriller",7.6,104978,3000000,11977130,16553285,13553285,4.517761666666667
Avengers: Age of Ultron,141.0,"Action,Adventure,Sci-Fi",7.3,665594,330600000,459005868,1403013963,1072413963,3.2438413883847548
Skyline,92.0,"Action,Sci-Fi,Thriller",4.4,83710,10000000,21416355,68264973,58264973,5.8264973
Rogue One: A Star Wars Story,133.0,"Action,Adventure,Sci-Fi",7.8,478592,200000000,532177324,1049102856,849102856,4.24551428
RoboCop,117.0,"Action,Crime,Sci-Fi",6.2,205798,120000000,58607007,242981799,122981799,1.024848325
Passengers,116.0,"Drama,Romance,Sci-Fi",7.0,311083,110000000,100014699,302239672,192239672,1.7476333818181817
Sorry to Bother You,111.0,"Comedy,Fantasy,Sci-Fi",7.0,40290,3200000,17493096,18285560,15085560,4.7142375
Freaks of Nature,92.0,"Comedy,Horror,Sci-Fi",5.9,9670,33000000,70958,70958,-32929042,-0.9978497575757576
Captain America: The First Avenger,124.0,"Action,Adventure,Sci-Fi",6.9,668137,140000000,176654505,370569776,230569776,1.6469269714285715
Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",8.5,670926,300000000,678815482,2048134200,1748134200,5.827114
A Quiet Place,90.0,"Drama,Horror,Sci-Fi",7.6,305031,17000000,188024361,334522294,317522294,18.677782
Geostorm,109.0,"Action,Sci-Fi,Thriller",5.3,78287,100000000,33700160,220796009,120796009,1.20796009
Resident Evil: The Final Chapter,107.0,"Action,Horror,Sci-Fi",5.6,74979,40000000,26844692,314101190,274101190,6.85252975
