movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Insidious: The Last Key,103.0,"Horror,Mystery,Thriller",5.7,42154,10000000,67745330,167885588,157885588,15.7885588
Winter's Bone,100.0,"Drama,Mystery",7.2,127751,2000000,6531503,16131551,14131551,7.0657755
Prometheus,124.0,"Adventure,Mystery,Sci-Fi",7.0,538720,125000000,126477084,402448265,277448265,2.21958612
Arrival,116.0,"Drama,Mystery,Sci-Fi",7.9,515483,47000000,100546139,203127894,156127894,3.321870085106383
Veronica Mars,107.0,"Crime,Drama,Mystery",6.8,46751,6000000,3322127,3485383,-2514617,-0.4191028333333333
Jigsaw,92.0,"Crime,Horror,Mystery",5.8,57184,10000000,38052832,102445196,92445196,9.2445196
First Reformed,113.0,"Drama,Mystery,Thriller",7.1,33542,3500000,3448256,3874772,374772,0.10707771428571429
The Overnight,79.0,"Comedy,Mystery",6.1,14828,200000,1109808,1165996,965996,4.82998
The Witch,92.0,"Horror,Mystery",6.8,154278,3500000,25138705,40454520,36954520,10.558434285714286
Gone Girl,149.0,"Drama,Mystery,Thriller",8.1,761592,61000000,167767189,368567189,307567189,5.042085065573771
Project Almanac,106.0,"Drama,Mystery,Sci-Fi",6.4,71500,12000000,22348241,32909437,20909437,1.7424530833333334
Silent House,86.0,"Drama,Horror,Mystery",5.3,20831,2000000,12739737,16610760,14610760,7.30538
Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147,5000000,32462372,90904854,85904854,17.1809708
The Signal,97.0,"Drama,Mystery,Sci-Fi",6.1,58407,4000000,600896,2665322,-1334678,-0.3336695
The Conjuring,112.0,"Horror,Mystery,Thriller",7.5,397233,20000000,137400141,318000141,298000141,14.90000705
Detention,93.0,"Comedy,Horror,Mystery",5.8,14221,10000000,0,0,-10000000,-1.0
Truth or Die,96.0,"Horror,Mystery",5.6,8123,1000000,0,0,-1000000,-1.0
Paranormal Activity 4,88.0,"Horror,Mystery,Thriller",4.6,58408,5000000,53900335,142817992,137817992,27.5635984
Murder on the Orient Express,114.0,"Crime,Drama,Mystery",6.5,178603,55000000,102826543,345922730,290922730,5.289504181818182
Strangerland,112.0,"Drama,Mystery,Thriller",5.2,7999,10000000,17472,161097,-9838903,-0.9838903
Parkland,93.0,"Drama,History,Mystery",6.4,14036,10000000,641439,1616353,-8383647,-0.8383647
Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,13000000,25440971,38358392,25358392,1.9506455384615384
The Innkeepers,101.0,"Drama,Horror,Mystery",5.5,31089,750000,78396,1011535,261535,0.3487133333333333
Before I Fall,98.0,"Drama,Fantasy,Mystery",6.4,39282,5000000,12241072,18945682,13945682,2.7891364
Alex Cross,101.0,"Action,Crime,Mystery",5.1,30951,35000000,25888412,35426759,426759,0.012193114285714285
The Words,102.0,"Drama,Mystery,Romance",7.1,70308,6000000,11494838,16369708,10369708,1.7282846666666667
Shut In,91.0,"Drama,Mystery,Thriller",4.7,11030,10000000,6900335,11360665,1360665,0.1360665
The Frozen Ground,105.0,"Crime,Drama,Mystery",6.4,51915,19200000,0,5617460,-13582540,-0.7074239583333334
Oculus,104.0,"Horror,Mystery",6.5,106906,5000000,27695246,44115496,39115496,7.8230992
Annabelle,99.0,"Horror,Mystery,Thriller",5.4,122039,6500000,84273813,256862920,250362920,38.517372307692305
Bad Times at the El Royale,141.0,"Crime,Drama,Mystery",7.1,86318,32000000,17839115,29204379,-2795621,-0.08736315625
Midnight Special,112.0,"Action,Drama,Mystery",6.6,67921,18000000,3712282,7680250,-10319750,-0.5733194444444445
Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,5000000,176040665,255367951,250367951,50.0735902
Enter Nowhere,90.0,"Mystery,Sci-Fi,Thriller",6.6,7298,500000,0,0,-500000,-1.0
Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132,5000000,55683845,125010260,120010260,24.002052
Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,185000000,92054159,259357408,74357408,0.40193193513513514
Sinister,110.0,"Horror,Mystery,Thriller",6.8,198345,3000000,48086903,87727807,84727807,28.242602333333334
Deliver Us from Evil,118.0,"Horror,Mystery,Thriller",6.2,63793,30000000,30577122,87956618,57956618,1.9318872666666667
Hot Tub Time Machine 2,93.0,"Comedy,Mystery,Sci-Fi",5.1,34444,14000000,12314651,12826644,-1173356,-0.08381114285714286
"As Above, So Below",93.0,"Adventure,Horror,Mystery",6.2,66892,5000000,21222315,41824066,36824066,7.3648132
Trance,101.0,"Crime,Drama,Mystery",6.9,104951,16000000,2322593,22594052,6594052,0.41212825
Flatliners,109.0,"Drama,Horror,Mystery",5.2,33752,26000000,61308153,61308153,35308153,1.3580058846153846
The Gallows,81.0,"Horror,Mystery,Thriller",4.2,17763,100000,22764410,41656474,41556474,415.56474
Scream 4,111.0,"Horror,Mystery",6.2,118779,40000000,38180928,95989590,55989590,1.39973975
The Gift,108.0,"Drama,Mystery,Thriller",7.1,123834,10000000,12008642,44567606,34567606,3.4567606
Annabelle: Creation,109.0,"Horror,Mystery,Thriller",6.5,90402,15000000,102092201,305384865,290384865,19.358991
The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,14000000,49130588,82925064,68925064,4.9232188571428575
Paper Towns,109.0,"Comedy,Drama,Mystery",6.3,87742,12000000,32000304,85450484,73450484,6.120873666666666
The Maze Runner,113.0,"Action,Mystery,Sci-Fi",6.8,387038,34000000,102427862,348319861,314319861,9.244701794117647
The Hangover Part II,102.0,"Comedy,Mystery",6.5,432800,80000000,254464305,586464305,506464305,6.3308038125
Circle,87.0,"Drama,Mystery,Sci-Fi",6.0,30645,2000000,10024,10024,-1989976,-0.994988
Unsane,98.0,"Drama,Horror,Mystery",6.4,32049,1500000,7690044,14244931,12744931,8.496620666666667
Edge of Darkness,117.0,"Crime,Drama,Mystery",6.6,84753,60000000,43313890,82812456,22812456,0.3802076
The Girl with the Dragon Tattoo,158.0,"Crime,Drama,Mystery",7.8,387580,90000000,102515793,239373970,149373970,1.6597107777777778
Insidious,103.0,"Horror,Mystery,Thriller",6.9,254197,1500000,54009150,99870886,98370886,65.58059066666667
Unfriended: Dark Web,92.0,"Crime,Horror,Mystery",5.9,13822,1000000,8866745,16434588,15434588,15.434588
The Rite,114.0,"Drama,Horror,Mystery",6.0,85604,37000000,33047633,97143987,60143987,1.6255131621621621
The Invitation,100.0,"Drama,Horror,Mystery",6.7,70213,1000000,231738,354836,-645164,-0.645164
Misconduct,106.0,"Crime,Drama,Mystery",5.3,13550,11000000,0,2352511,-8647489,-0.7861353636363636
Happy Death Day 2U,100.0,"Drama,Horror,Mystery",6.3,27462,9000000,28051045,64179495,55179495,6.131055
Atomic Blonde,115.0,"Action,Mystery,Thriller",6.7,150407,30000000,51573925,98345423,68345423,2.2781807666666665
It Follows,100.0,"Horror,Mystery",6.9,182839,2000000,14674077,23250755,21250755,10.6253775
The Forest,93.0,"Horror,Mystery,Thriller",4.8,36423,10000000,26594261,40749230,30749230,3.074923
