movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Greatest Showman,105.0,"Biography,Drama,Musical",7.6,199663,84000000,174340174,386665550,302665550,3.6031613095238093
Rosewater,103.0,"Biography,Drama",6.6,9836,10000000,3128941,3185717,-6814283,-0.6814283
Whiskey Tango Foxtrot,112.0,"Biography,Comedy,Drama",6.6,46265,35000000,23083334,25350747,-9649253,-0.27569294285714285
"Paul, Apostle of Christ",108.0,"Adventure,Biography,Drama",6.7,5662,5000000,17547999,25529498,20529498,4.1058996
Big Eyes,106.0,"Biography,Crime,Drama",7.0,77447,10000000,14482031,27317872,17317872,1.7317872
Black Mass,123.0,"Biography,Crime,Drama",6.9,155847,53000000,62575678,98837872,45837872,0.8648655094339622
Chocolat,119.0,"Biography,Drama",7.0,5772,25000000,71309760,152500343,127500343,5.10001372
I Can Only Imagine,110.0,"Biography,Drama,Family",7.4,11439,7000000,83482352,85604221,78604221,11.22917442857143
Vice,132.0,"Biography,Comedy,Drama",7.2,72855,60000000,47836282,70883171,10883171,0.18138618333333334
The Man Who Knew Infinity,108.0,"Biography,Drama",7.2,43575,10000000,3877922,12382122,2382122,0.2382122
Get on Up,139.0,"Biography,Drama,Music",6.9,19024,30000000,30569935,33339868,3339868,0.11132893333333334
The Walk,123.0,"Adventure,Biography,Drama",7.3,109714,35000000,10161183,61492104,26492104,0.7569172571428572
American Made,115.0,"Action,Biography,Comedy",7.2,131043,50000000,51342000,135569212,85569212,1.71138424
A Street Cat Named Bob,103.0,"Biography,Comedy,Drama",7.4,23204,8000000,82703,17382693,9382693,1.172836625
Kill the Messenger,112.0,"Biography,Crime,Drama",7.0,41231,5000000,2450846,6656705,1656705,0.331341
The Infiltrator,127.0,"Biography,Crime,Drama",7.0,61547,47500000,15436808,20718104,-26781896,-0.5638293894736842
Selma,128.0,"Biography,Drama,History",7.5,77633,20000000,52076908,66776576,46776576,2.3388288
Steve Jobs,122.0,"Biography,Drama",7.2,138668,30000000,17766658,35579007,5579007,0.1859669
Welcome to Marwen,116.0,"Biography,Comedy,Drama",6.1,8920,45000000,10763520,12874922,-32125078,-0.7138906222222222
Secretariat,123.0,"Biography,Drama,Family",7.2,24536,35000000,59699513,60376247,25376247,0.7250356285714286
Lone Survivor,121.0,"Action,Biography,Drama",7.5,246641,40000000,125095601,149804632,109804632,2.7451158
Woman in Gold,109.0,"Biography,Drama,History",7.3,48501,11000000,33307793,58586407,47586407,4.326037
Beautiful Boy,120.0,"Biography,Drama",7.3,30368,25000000,7634767,13031424,-11968576,-0.47874304
Mr. Turner,150.0,"Biography,Drama,History",6.8,22661,14000000,3958546,25187026,11187026,0.7990732857142857
BlacKkKlansman,135.0,"Biography,Crime,Drama",7.5,149005,15000000,49275340,93017335,78017335,5.201155666666667
The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,1035358,100000000,116900694,389870414,289870414,2.89870414
Compliance,90.0,"Biography,Crime,Drama",6.4,28703,270000,319285,830700,560700,2.0766666666666667
The Sapphires,103.0,"Biography,Comedy,Drama",7.0,12143,9000000,2450867,20395040,11395040,1.2661155555555557
The 33,127.0,"Biography,Drama,History",6.9,32263,25000000,12227722,28400715,3400715,0.1360286
Saving Mr. Banks,125.0,"Biography,Comedy,Drama",7.5,140678,35000000,83299761,114962525,79962525,2.2846435714285716
The Imitation Game,114.0,"Biography,Drama,Thriller",8.0,620834,15000000,91125143,227740463,212740463,14.182697533333334
Concussion,123.0,"Biography,Drama,Sport",7.1,77576,35000000,34531832,50363790,15363790,0.43896542857142856
Dangal,161.0,"Action,Biography,Drama",8.5,123638,9500000,12391761,294654618,285154618,30.01627557894737
Argo,120.0,"Biography,Drama,Thriller",7.7,534683,44500000,136025503,227140757,182640757,4.104286674157303
Loving,123.0,"Biography,Drama,Romance",7.0,28079,9000000,7710234,12898064,3898064,0.43311822222222224
Marshall,118.0,"Biography,Crime,Drama",7.2,14419,12000000,10051659,10116816,-1883184,-0.156932
"McFarland, USA",129.0,"Biography,Drama,Sport",7.4,31735,17000000,44480275,45707924,28707924,1.688701411764706
Mandela: Long Walk to Freedom,141.0,"Biography,Drama,History",7.1,25027,35000000,8323085,29890402,-5109598,-0.1459885142857143
Florence Foster Jenkins,111.0,"Biography,Comedy,Drama",6.8,44970,29000000,27383770,56000339,27000339,0.9310461724137931
Hidden Figures,127.0,"Biography,Drama,History",7.8,171131,25000000,169607287,231771716,206771716,8.27086864
The Social Network,120.0,"Biography,Drama",7.7,568578,40000000,96962694,224922135,184922135,4.623053375
Lee Daniels' The Butler,132.0,"Biography,Drama",7.2,102468,30000000,116632095,177025498,147025498,4.900849933333333
The Birth of a Nation,120.0,"Biography,Drama,History",6.4,18442,10000000,15861566,16891011,6891011,0.6891011
Queen of Katwe,124.0,"Biography,Drama,Sport",7.4,13039,15000000,8874389,10055481,-4944519,-0.3296346
Conviction,107.0,"Biography,Crime,Drama",7.2,39771,12500000,6797696,11826980,-673020,-0.0538416
Big Miracle,107.0,"Biography,Drama,Family",6.5,17585,40000000,20157300,25268680,-14731320,-0.368283
Bleed for This,117.0,"Biography,Drama,Sport",6.8,21946,16000000,5083906,6603926,-9396074,-0.587254625
Jersey Boys,134.0,"Biography,Drama,Music",6.8,30410,40000000,47047013,65282732,25282732,0.6320683
Gotti,112.0,"Biography,Crime,Drama",4.8,10358,10000000,4286367,6089100,-3910900,-0.39109
On the Basis of Sex,120.0,"Biography,Drama",6.9,12083,20000000,24622687,38073377,18073377,0.90366885
The Favourite,119.0,"Biography,Drama,History",7.6,116011,15000000,34366783,94113929,79113929,5.274261933333333
Freeheld,103.0,"Biography,Drama,Romance",6.5,10534,7000000,546201,1732228,-5267772,-0.7525388571428572
Suffragette,106.0,"Biography,Drama,History",6.9,34306,14000000,4702420,34044909,20044909,1.4317792142857142
