,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
435,Ice Age: Continental Drift,88.0,"Adventure,Animation,Comedy",6.6,175601,95000000,161321843,879765137,784765137,8.26068565263158,Light
445,Dumbo,112.0,"Adventure,Family,Fantasy",6.6,25072,170000000,113883318,345004422,175004422,1.0294377764705882,Light
451,Smallfoot,96.0,"Adventure,Animation,Comedy",6.7,23295,80000000,83240103,213691277,133691277,1.6711409625,Light
478,The Muppets,103.0,"Adventure,Comedy,Family",7.1,82752,45000000,88625922,160971922,115971922,2.5771538222222223,Light
480,Zookeeper,102.0,"Comedy,Family,Romance",5.2,52396,80000000,80360866,170805525,90805525,1.1350690625,Light
487,Winnie the Pooh,63.0,"Adventure,Animation,Comedy",7.2,19605,30000000,26692846,50145607,20145607,0.6715202333333333,Light
529,Kung Fu Panda 3,95.0,"Action,Adventure,Animation",7.1,116166,140000000,143528619,517599142,377599142,2.6971367285714285,Light
530,The SpongeBob Movie: Sponge Out of Water,92.0,"Adventure,Animation,Comedy",6.0,43560,74000000,162994032,311013181,237013181,3.2028808243243243,Light
531,Sherlock Gnomes,86.0,"Adventure,Animation,Comedy",5.1,8030,59000000,43242871,87527651,28527651,0.48351950847457625,Light
549,Goosebumps 2: Haunted Halloween,90.0,"Adventure,Comedy,Family",5.6,11459,35000000,46697321,93291478,58291478,1.6654708,Light
570,Monsters University,104.0,"Adventure,Animation,Comedy",7.3,291887,200000000,268488329,743588329,543588329,2.717941645,Light
571,The Greatest Showman,105.0,"Biography,Drama,Musical",7.6,199663,84000000,174340174,386665550,302665550,3.6031613095238093,Light
586,The Good Dinosaur,93.0,"Adventure,Animation,Comedy",6.7,91465,187500000,123087120,333771037,146271037,0.7801121973333334,Light
590,Inside Out,95.0,"Adventure,Animation,Comedy",8.2,536181,175000000,356461711,854235992,679235992,3.881348525714286,Light
595,Alice Through the Looking Glass,113.0,"Adventure,Family,Fantasy",6.2,79951,170000000,77042381,276928112,106928112,0.628988894117647,Light
608,Megamind,95.0,"Action,Animation,Comedy",7.3,207488,130000000,148415853,321887208,191887208,1.4760554461538462,Light
623,The Odd Life of Timothy Green,105.0,"Comedy,Drama,Family",6.6,42770,40000000,51853450,55249159,15249159,0.381228975,Light
627,A Wrinkle in Time,109.0,"Adventure,Family,Fantasy",4.2,34888,103000000,100478608,133401882,30401882,0.29516390291262135,Light
632,Wreck-It Ralph,101.0,"Adventure,Animation,Comedy",7.7,344496,165000000,189412677,496511521,331511521,2.0091607333333332,Light
638,Early Man,89.0,"Adventure,Animation,Comedy",6.1,15882,50000000,8267544,45285890,-4714110,-0.0942822,Light
642,I Can Only Imagine,110.0,"Biography,Drama,Family",7.4,11439,7000000,83482352,85604221,78604221,11.22917442857143,Light
644,The Three Stooges,92.0,"Comedy,Family",5.1,28570,30000000,44338224,54052249,24052249,0.8017416333333334,Light
653,The Last Five Years,94.0,"Comedy,Drama,Musical",5.9,8735,2000000,147299,205298,-1794702,-0.897351,Light
665,Percy Jackson & the Olympians: The Lightning Thief,118.0,"Adventure,Family,Fantasy",5.9,165108,95000000,88768303,223050874,128050874,1.3479039368421053,Light
668,Parental Guidance,105.0,"Comedy,Family",6.1,23711,25000000,77267296,120832383,95832383,3.83329532,Light
669,Tomorrowland,130.0,"Action,Adventure,Family",6.4,161343,170000000,93436322,206627518,36627518,0.2154559882352941,Light
675,Big Hero 6,102.0,"Action,Adventure,Animation",7.8,371204,165000000,222527828,652127828,487127828,2.952289866666667,Light
680,Zootopia,108.0,"Adventure,Animation,Comedy",8.0,383446,150000000,341268248,1019429616,869429616,5.79619744,Light
682,Despicable Me 3,89.0,"Adventure,Animation,Comedy",6.3,92580,75000000,264624300,1034727750,959727750,12.79637,Light
