movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Kong: Skull Island,118.0,"Action,Adventure,Fantasy",6.6,237720,185000000,168052812,561072059,376072059,2.0328219405405403
The Shape of Water,123.0,"Adventure,Drama,Fantasy",7.3,308112,19500000,63859435,195790794,176290794,9.040553538461538
Wolves,91.0,"Action,Fantasy,Horror",5.3,7312,18000000,0,94953,-17905047,-0.9947248333333333
Midnight in Paris,94.0,"Comedy,Fantasy,Romance",7.7,356500,30000000,56816662,162502774,132502774,4.416759133333334
The Tree of Life,139.0,"Drama,Fantasy",6.8,156266,35000000,13305665,61721826,26721826,0.7634807428571428
The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,250000000,258366855,960366855,710366855,2.84146742
300: Rise of an Empire,102.0,"Action,Fantasy,War",6.2,262978,110000000,106580051,330780051,220780051,2.0070913727272726
The Incredible Burt Wonderstone,100.0,"Adventure,Comedy,Fantasy",5.9,67549,32000000,22537881,27392609,-4607391,-0.14398096875
The Mortal Instruments: City of Bones,130.0,"Action,Fantasy,Horror",5.9,121936,60000000,31165421,75965567,15965567,0.26609278333333336
Wrath of the Titans,99.0,"Action,Adventure,Fantasy",5.7,172330,150000000,83670083,305270083,155270083,1.0351338866666666
Dumbo,112.0,"Adventure,Family,Fantasy",6.6,25072,170000000,113883318,345004422,175004422,1.0294377764705882
The Wall,108.0,"Drama,Fantasy,Mystery",6.8,5484,3000000,1803064,4495262,1495262,0.4984206666666667
The Brass Teapot,101.0,"Comedy,Fantasy,Thriller",6.4,13746,900000,6997,413733,-486267,-0.5402966666666666
The Night Before,101.0,"Adventure,Comedy,Fantasy",6.4,58455,25000000,43035725,52427346,27427346,1.09709384
The Woman in Black,95.0,"Drama,Fantasy,Horror",6.4,165357,15000000,54333290,128955898,113955898,7.597059866666667
The Dark Tower,95.0,"Action,Adventure,Fantasy",5.7,107518,60000000,50701325,113461527,53461527,0.89102545
Yoga Hosers,88.0,"Action,Comedy,Fantasy",4.3,10483,5000000,0,22958,-4977042,-0.9954084
