movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Life,104.0,"Horror,Sci-Fi,Thriller",6.6,182840,75000000,64062587,73521587,-1478413,-0.019712173333333333
Incarnate,91.0,"Horror,Thriller",5.3,10217,5000000,4799774,9371036,4371036,0.8742072
Hereditary,127.0,"Drama,Horror,Mystery",7.3,151571,10000000,44069456,70133905,60133905,6.0133905
The Woman in Black,95.0,"Drama,Fantasy,Horror",6.4,165357,15000000,54333290,128955898,113955898,7.597059866666667
Victor Frankenstein,110.0,"Drama,Horror,Sci-Fi",6.0,47492,40000000,5775076,31124367,-8875633,-0.221890825
The Veil,93.0,Horror,4.8,6895,4000000,0,0,-4000000,-1.0
The Killer Inside Me,109.0,"Crime,Drama,Horror",6.1,31727,13000000,217277,3617277,-9382723,-0.721747923076923
The Darkness,92.0,"Horror,Thriller",4.4,12435,4000000,10753574,10898293,6898293,1.72457325
Regression,106.0,"Crime,Horror,Mystery",5.7,33335,20000000,55039,15824374,-4175626,-0.2087813
Housebound,107.0,"Comedy,Horror,Mystery",6.8,29757,1500000,0,236863,-1263137,-0.8420913333333333
Cargo,105.0,"Drama,Horror,Sci-Fi",6.3,27339,4200000,0,313230,-3886770,-0.9254214285714286
Ravenous,104.0,"Drama,Horror,Sci-Fi",5.9,5970,12000000,2062406,2062406,-9937594,-0.8281328333333333
The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629,6000000,14836174,42785387,36785387,6.130897833333333
The Reef,94.0,"Adventure,Drama,Horror",5.8,15194,10000000,0,15037867,5037867,0.5037867
"I, Frankenstein",92.0,"Action,Fantasy,Horror",5.1,74910,65000000,19075290,74575290,9575290,0.14731215384615384
Red Riding Hood,100.0,"Fantasy,Horror,Mystery",5.5,102369,42000000,37662162,91678442,49678442,1.1828200476190476
The Vatican Tapes,91.0,"Horror,Thriller",5.0,14822,13000000,1784763,14929184,1929184,0.14839876923076922
Absentia,87.0,"Drama,Horror,Mystery",5.8,15507,70000,0,8555,-61445,-0.8777857142857143
Take Shelter,121.0,"Drama,Horror,Thriller",7.4,83200,4750000,1728953,4972016,222016,0.04674021052631579
Velvet Buzzsaw,113.0,"Horror,Mystery,Thriller",5.7,40213,21000000,0,0,-21000000,-1.0
Mama,100.0,"Horror,Thriller",6.2,158487,15000000,71628180,148095566,133095566,8.873037733333334
Maniac,89.0,"Horror,Thriller",6.1,32534,350000,10000000,10000000,9650000,27.571428571428573
31,102.0,"Horror,Thriller",5.1,15055,1500000,779820,922727,-577273,-0.38484866666666667
