id_x,movie,production_budget,domestic_gross,worldwide_gross,total_gross,net_revenue,original_language,popularity,release_date_y,vote_average,vote_count,start_year,runtime_minutes,genres,imdb_averagerating,imdb_numvotes
53,The Twilight Saga: Eclipse,68000000,300531751,706102828,1006634579,938634579,en,20.34,2010-06-23,6.0,4909,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733
55,Ted 2,68000000,81476385,217214143,298690528,230690528,en,17.684,2015-06-26,6.1,4227,2015,115.0,Comedy,6.3,165843
57,Hall Pass,68000000,45060734,87173475,132234209,64234209,en,9.984,2011-02-25,5.5,1009,2011,105.0,"Comedy,Romance",5.9,113775
59,Dreamcatcher,68000000,33685268,75685268,109370536,41370536,en,1.4,2015-03-27,5.2,5,2015,104.0,"Crime,Documentary,Drama",7.1,395
62,Downsizing,68000000,24449754,54462971,78912725,10912725,en,10.682,2017-12-22,5.1,1887,2017,135.0,"Drama,Sci-Fi",5.7,74815
65,Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,175008869,107508869,en,12.498,2012-06-22,5.6,2009,2012,105.0,"Action,Fantasy,Horror",5.9,142853
66,Last Man Standing,67000000,18115927,18115927,36231854,-30768146,en,2.394,2011-06-07,4.4,11,2010,85.0,"Biography,Crime,Documentary",5.2,22
70,Need for Speed,66000000,43568507,194169619,237738126,171738126,en,13.723,2014-03-14,6.1,2389,2014,132.0,"Action,Crime,Thriller",6.5,154909
72,What Women Want,65000000,182805123,374105123,556910246,491910246,zh,1.917,2011-02-04,6.6,13,2011,116.0,"Comedy,Romance,Sci-Fi",5.6,1152
73,Lincoln,65000000,182207973,273346281,455554254,390554254,en,12.693,2012-11-16,6.8,2261,2012,150.0,"Biography,Drama,History",7.4,228701
77,Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,694580054,629580054,en,26.815,2018-06-30,6.8,1673,2018,97.0,"Adventure,Animation,Comedy",6.3,42299
82,Unbroken,65000000,115637895,163527824,279165719,214165719,en,12.354,2014-12-25,7.4,2240,2014,137.0,"Biography,Drama,Sport",7.2,129981
84,Due Date,65000000,100539043,211739043,312278086,247278086,en,12.445,2010-11-04,6.3,2973,2010,95.0,"Adventure,Comedy",6.5,303523
